code,name,iso_numeric,date_created,last_updated
DE,Germany,276,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
SE,Sweden,752,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
GB,United Kingdom,826,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
US,United States,840,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
FR,France,250,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
IT,Italy,380,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
ES,Spain,724,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
JP,Japan,392,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
CN,China,156,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
RU,Russia,643,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
BR,Brazil,76,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
AU,Australia,36,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
CA,Canada,124,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
IN,India,356,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
MX,Mexico,484,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
KR,South Korea,410,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
ID,Indonesia,360,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
TR,Turkey,792,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
SA,Saudi Arabia,682,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
ZA,South Africa,710,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
EG,Egypt,818,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
AR,Argentina,32,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
NG,Nigeria,566,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
PK,Pakistan,586,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
BD,Bangladesh,50,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
PH,Philippines,608,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
VN,Vietnam,704,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
IR,Iran,364,2024-04-17 09:03:38.594163,2024-04-17 09:03:38.594163
